Statistical profiling result from isolate-0xb2d6000-123903-v8.log, (183041 ticks, 9382 unaccounted, 0 excluded).

 [Shared libraries]:
   ticks  total  nonlib   name
     35    0.0%          /usr/lib/x86_64-linux-gnu/libstdc++.so.6.0.33
     11    0.0%          [vdso]
      3    0.0%          /usr/lib/x86_64-linux-gnu/libc.so.6

 [JavaScript]:
   ticks  total  nonlib   name
    792    0.4%    0.4%  Builtin: FindOrderedHashMapEntry
    765    0.4%    0.4%  Builtin: LoadIC_Megamorphic
    368    0.2%    0.2%  Builtin: LoadIC
    323    0.2%    0.2%  JS: *We.next /workspaces/minhAi/node_modules/next/dist/compiled/acorn/acorn.js:1:103090
    270    0.1%    0.1%  JS: *<anonymous> /workspaces/minhAi/node_modules/next/dist/compiled/webpack/bundle5.js:1:164892
    248    0.1%    0.1%  JS: *We.readWord /workspaces/minhAi/node_modules/next/dist/compiled/acorn/acorn.js:1:118424
    244    0.1%    0.1%  Builtin: StoreIC_Megamorphic
    184    0.1%    0.1%  Builtin: MapPrototypeSet
    183    0.1%    0.1%  Builtin: SetConstructor
    179    0.1%    0.1%  JS: *join node:path:1332:7
    179    0.1%    0.1%  JS: *<anonymous> :1:20
    176    0.1%    0.1%  Builtin: Call_ReceiverIsNullOrUndefined
    172    0.1%    0.1%  JS: *pe.parseIdent /workspaces/minhAi/node_modules/next/dist/compiled/acorn/acorn.js:1:72544
    169    0.1%    0.1%  Builtin: StringAdd_CheckNone
    166    0.1%    0.1%  Builtin: CallFunction_ReceiverIsNullOrUndefined
    154    0.1%    0.1%  JS: *getMemberExpressionInfo /workspaces/minhAi/node_modules/next/dist/compiled/webpack/bundle5.js:29:1041715
    154    0.1%    0.1%  Builtin: RegExpPrototypeTestFast
    151    0.1%    0.1%  Builtin: RecordWriteSaveFP
    150    0.1%    0.1%  Builtin: CreateDataProperty
    144    0.1%    0.1%  Builtin: SetPrototypeAdd
    140    0.1%    0.1%  JS: *pe.parseMaybeUnary /workspaces/minhAi/node_modules/next/dist/compiled/acorn/acorn.js:1:52871
    133    0.1%    0.1%  JS: *pe.parseSubscript /workspaces/minhAi/node_modules/next/dist/compiled/acorn/acorn.js:1:55767
    131    0.1%    0.1%  Builtin: CallFunction_ReceiverIsNotNullOrUndefined
    125    0.1%    0.1%  Builtin: Call_ReceiverIsNotNullOrUndefined
    124    0.1%    0.1%  Builtin: KeyedLoadIC_Megamorphic
    121    0.1%    0.1%  Builtin: StringSubstring
    118    0.1%    0.1%  JS: *Y.eat /workspaces/minhAi/node_modules/next/dist/compiled/acorn/acorn.js:1:14789
    108    0.1%    0.1%  JS: *We.skipSpace /workspaces/minhAi/node_modules/next/dist/compiled/acorn/acorn.js:1:105092
    104    0.1%    0.1%  JS: *pe.parseExprAtom /workspaces/minhAi/node_modules/next/dist/compiled/acorn/acorn.js:1:57490
    103    0.1%    0.1%  Builtin: GrowFastSmiOrObjectElements
    102    0.1%    0.1%  JS: *We.readString /workspaces/minhAi/node_modules/next/dist/compiled/acorn/acorn.js:1:114156
     95    0.1%    0.1%  Builtin: CallFunction_ReceiverIsAny
     89    0.0%    0.0%  Builtin: LoadICTrampoline_Megamorphic
     87    0.0%    0.0%  Builtin: FastNewClosure
     85    0.0%    0.0%  JS: *walkExpression /workspaces/minhAi/node_modules/next/dist/compiled/webpack/bundle5.js:29:1020228
     84    0.0%    0.0%  JS: *We.finishToken /workspaces/minhAi/node_modules/next/dist/compiled/acorn/acorn.js:1:105648
     84    0.0%    0.0%  Builtin: WeakMapLookupHashIndex
     79    0.0%    0.0%  JS: *optimize /workspaces/minhAi/node_modules/next/dist/compiled/webpack/bundle5.js:29:261313
     77    0.0%    0.0%  Builtin: BaselineOutOfLinePrologue
     75    0.0%    0.0%  Builtin: RegExpReplace
     74    0.0%    0.0%  Builtin: StringEqual
     68    0.0%    0.0%  JS: *<anonymous> /workspaces/minhAi/node_modules/next/dist/compiled/webpack/bundle5.js:1:164823
     67    0.0%    0.0%  JS: *execRule /workspaces/minhAi/node_modules/next/dist/compiled/webpack/bundle5.js:29:1193536
     67    0.0%    0.0%  Builtin: ArrayPrototypeJoin
     66    0.0%    0.0%  Builtin: StoreIC
     64    0.0%    0.0%  JS: *pe.parseMaybeAssign /workspaces/minhAi/node_modules/next/dist/compiled/acorn/acorn.js:1:50275
